decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,occid,recordID
15.6674733,62.9027943,LD,1073474,unknown,,,3937259,urn:uuid:9c7b5a39-78f0-4dc7-92ff-eabbf21361cc
15.6755,62.91073,GB,GB-0177564,unknown,16644,0,3901811,urn:uuid:70e5784d-1a15-4727-aa94-b6ab9c79648e
8.1831,62.9145,TRH,25714/1,ED50,707,,3840672,urn:uuid:15879da0-1604-449f-b6c7-6b4b1d3abfbe
-135.033,62.95,CMN,CANL 10003342,unknown,,1737,477031,urn:uuid:b4732b91-cafa-4d98-9ea0-2ebbe965c7cb
-128.967,62.95,CMN,CANL 10002862,unknown,,152,462466,urn:uuid:49b66a6e-1597-4b2e-a447-36fa2e107af3
-128.966667,62.95,WIS,WIS-L-0044727,unknown,,1524,1100391,urn:uuid:e3c8a88f-8fd5-4881-966f-2b894c4d6303
7.2945,62.9605,TRH,25713/1,ED50,707,120,3825532,urn:uuid:8c751f58-9d79-42f8-9df7-62cea9562d95
-82,63,QFA,QFA0168654,unknown,,,2659356,urn:uuid:1013bd02-95f8-4ae0-ae92-ee86ddf00995
-70,63,MIN,494291,unknown,,,302909,urn:uuid:923cdd63-4b84-4e4d-84f7-03f298449906
-147,63,MIN,630767,unknown,,,309436,urn:uuid:4a912985-c1df-4c05-9744-c0d63aaad2ae
-82.6667,63,CMN,CANL 10003283,unknown,,,456290,urn:uuid:43c13ceb-b2e7-4588-b328-bc65918f0a3a
-82.6667,63,CMN,CANL 10003284,unknown,,,456289,urn:uuid:8d2a4780-f389-49f4-84d4-9e8b73eeecef
-147,63,WIS,WIS-L-0044820,unknown,,,1100697,urn:uuid:99f5d3f8-6b0a-4c29-a59f-44ec0062b193
-50,63,C,98,unknown,,,3876193,urn:uuid:6978b99c-55aa-49fb-8be5-5d4ac9f4de29
14,63,S,F117425,unknown,,,4265087,urn:uuid:aecd1edb-5a4a-4ef8-9011-1e0af9f9150e
13,63,S,F117426,unknown,,,4265088,urn:uuid:1d1c2d15-85fc-4037-824b-799903924d72
13,63,S,F120525,unknown,,,4266218,urn:uuid:d4e95bfa-e4b5-4528-8ad0-5f3d0d1233c9
13,63,S,F150393,unknown,,,4279333,urn:uuid:fd705344-e59b-49e5-9fa9-2f3ab770eb00
19,63,S,F252103,unknown,,,4339996,urn:uuid:3f19e3c3-9072-429c-a663-fe2af6ade86f
12,63,S,F254043,unknown,,,4340733,urn:uuid:60ed0048-be25-4982-a1f4-aa6a4b20fb6c
12,63,S,F254049,unknown,,,4340738,urn:uuid:ea987c98-0b85-4d6b-87e8-fd54d70658c1
12,63,S,F255018,unknown,,,4341284,urn:uuid:f7d60661-39b3-4b5c-b5f4-af3c9a2231c8
12,63,S,F67042,unknown,,,4237551,urn:uuid:81ec378e-eefe-4719-b21d-c56b6559a27a
13,63,S,F67043,unknown,,,4237552,urn:uuid:f8e3b6ed-6cc3-4005-a76e-0bf3108fc5c5
12,63,S,F67046,unknown,,,4237555,urn:uuid:a5c6b2aa-464b-4ea8-b7a1-f34dac747547
12,63,S,F67048,unknown,,,4237557,urn:uuid:5eadc282-134b-4423-864b-898780a9d226
13,63,S,F67453,unknown,,,4237950,urn:uuid:f354b380-3c44-4be6-b2fc-8024891e8253
13,63,S,F67467,unknown,,,4237964,urn:uuid:19ac87c2-715e-4340-ab90-a0e316c6b16d
12,63,S,F67468,unknown,,,4237965,urn:uuid:a8b48d1d-7a30-4e50-b61c-37c1a702ef70
14,63,S,F67469,unknown,,,4237966,urn:uuid:a3de4942-17f1-427e-8c6b-732ddc0e432d
13,63,S,F67470,unknown,,,4237967,urn:uuid:f7d2d626-d937-4622-82c0-10e7faf8e5f1
14,63,S,F67471,unknown,,,4237968,urn:uuid:0178ae19-ce8d-4227-9612-417465cc3186
12,63,S,F67473,unknown,,,4237970,urn:uuid:6f0ad4a0-f4e8-41ae-8b25-55c9dbb89969
12,63,S,F67474,unknown,,,4237971,urn:uuid:09b9db8a-14b0-4ae4-83c6-ccbc5450c964
13,63,S,F67476,unknown,,,4237973,urn:uuid:22856e87-5055-47aa-a531-db5476c6a3e8
12,63,S,F67477,unknown,,,4237974,urn:uuid:f5fe526e-a7fc-48e0-854a-25dd6976e25f
13,63,S,F67478,unknown,,,4237975,urn:uuid:67202df9-822a-4c03-9782-b98365d96053
14,63,S,F67479,unknown,,,4237976,urn:uuid:d21d1f09-7d53-45cc-ab6e-04cbe978e06f
12,63,S,F67480,unknown,,,4237977,urn:uuid:cb892434-df1c-4ec5-ada0-fcae7079fd3b
12,63,S,F67481,unknown,,,4237978,urn:uuid:6133c0eb-cc4c-49c6-87de-5699a193e9f7
12,63,S,F67482,unknown,,,4237979,urn:uuid:b70c34e7-e250-4748-9559-af2bc9e48c2d
13,63,S,F67483,unknown,,,4237980,urn:uuid:0ed5dc4a-6ac8-4dee-8742-3d4cb789f592
14,63,S,F67484,unknown,,,4237981,urn:uuid:9473f491-d9eb-4152-9b62-17891553b885
12,63,S,F67485,unknown,,,4237982,urn:uuid:ddff9fc8-bbd9-4fd9-ac17-ab89c319fe6a
17,63,S,F67547,unknown,,,4238043,urn:uuid:e330ada2-e9d4-4236-8026-19054abc99ed
20,63,S,F67548,unknown,,,4238044,urn:uuid:ef7aecbf-91b0-4857-a1e3-e26a567829be
16,63,S,F67549,unknown,,,4238045,urn:uuid:d85c769d-47bb-493c-b98d-1e2697843c06
18,63,S,F67550,unknown,,,4238046,urn:uuid:1ab09441-4b60-4981-a201-ae5ed9121cd7
20,63,S,F67552,unknown,,,4238048,urn:uuid:83770daf-e555-4ddd-8ef1-948cda8d7455
13,63,S,F68094,unknown,,,4238544,urn:uuid:2ffd25f0-73f8-49b8-9c50-2b06a6b864f8
19,63,S,L69955,unknown,,,4229507,urn:uuid:4a98a589-9d12-4618-945f-0cc6aaa92062
12.22444,63.02438,GB,GB-0177559,unknown,5000,0,3901806,urn:uuid:71aa15df-a867-450d-a649-b611bcccd927
-146.881688,63.041583,LSU,LSU00129917,WGS84,610,,1526884,urn:uuid:20bad314-aa1c-4bdc-a689-e37d28f48725
18.54295,63.0594,LD,1073794,unknown,,,3937325,urn:uuid:d7454623-7b79-4ac1-b1f5-58144211dffe
-101.7,63.0667,CMN,CANL 15024,unknown,,,456276,urn:uuid:f23f283e-7bf3-439a-9256-05de82ce88b9
9.3661,63.069,TRH,25715/1,ED50,707,645,3835675,urn:uuid:59351f66-9016-41de-95e6-906097f4b7a4
-145.633,63.0833,CMN,CANL 115435,unknown,,1036,451465,urn:uuid:72fb80ab-413f-43b1-981d-53e3f563a1ba
-146.317,63.0833,CMN,CANL 115433,unknown,,1219,451463,urn:uuid:4dcc1689-d505-40a9-afd0-9443a5a85d50
-146.317,63.0833,CMN,CANL 115434,unknown,,1219,451464,urn:uuid:02d0dd61-e205-41ab-9f9b-fd9b5fd414fb
-125.9,63.083333,WIS,WIS-L-0044722,unknown,,1829,1100386,urn:uuid:a1e96e8e-3c88-4a4c-9ba0-2ad92f52b383
-146.307217,63.090817,hb. Esslinger,0024729,unknown,,1193,1798890,urn:uuid:3af7d25d-c48b-4de8-bfc5-ad9c9146d24d
-50.66666667,63.1,GB,GB-0177650,unknown,2000,0,3901897,urn:uuid:3e48ff08-5d3f-4a40-b62b-1d8616869b63
-50.6666667,63.1,WIS,WIS-L-0112232,unknown,,,1498560,urn:uuid:07016c1f-3e98-4dec-b15f-e6fcb57a7ff9
-50.666667,63.1,DUKE,219298,unknown,,,1072617,urn:uuid:bdc17e92-baea-45cc-9812-c6ea51b318ce
-50.6667,63.1,US,,unknown,,,2752921,urn:uuid:104f53a8-a57b-49e2-9c3f-ea576ed51f97
-50.66666667,63.1,LD,1027216,unknown,,,3924594,urn:uuid:d3937cd9-5514-483b-b1d0-e57e54fb3221
-50.6667,63.1,B,142074,unknown,,,5200264,urn:uuid:3fbca10d-1b43-405f-ab74-95f4b154ec51
-50.66345,63.11277,ASU,,WGS84,,,66668,urn:uuid:f275a8cd-7bba-48ce-b375-dfaa4f97a94a
-146.5,63.1166667,ASU,ASUL035671,unknown,,,47805,urn:uuid:db8ab9be-45f3-42fd-8302-d1f6cbd50f79
14.683333,63.15,ASU,ASUL034570,WGS84,1609,,73138,urn:uuid:5701227d-67a4-4649-baef-c6ba84dd5f2d
14.69670081,63.15469753,GB,GB-0177557,unknown,1500,0,3901804,urn:uuid:31e122f3-e69d-4e18-9f55-dcdb7593eb7d
-145.226655,63.160695,WIS,WIS-L-0044665,unknown,4537,1372,1100329,urn:uuid:1554aa08-62b0-4d44-bd54-f9ba5af9fbe1
-145.226655,63.160695,WIS,WIS-L-0044782,unknown,4537,1372,1100659,urn:uuid:e31f1be4-be68-417c-bbf8-86c0a9e3f4e7
12.36166,63.16964,GB,GB-0177558,unknown,750,0,3901805,urn:uuid:aa898ed6-cf3a-46a5-9e9c-e66c40b2e5fc
14.545975,63.177073,DUKE,342487,WGS84,,,2931464,urn:uuid:91cad74a-ad7e-4d67-8de6-fc26ac95d700
9.9207,63.178,O,105216,WGS84,71,530,2102880,urn:uuid:73002641-c97e-43b7-92ea-b4483bbe55ad
14.639266,63.1786478,LD,1073538,unknown,,,3937273,urn:uuid:fa733a13-6610-4c24-a465-11b22ba989d9
14.639266,63.1786478,LD,2102277,unknown,,,5371130,urn:uuid:5fd97f2c-85e9-49f6-9a35-79447c5621ee
14.68369,63.18181,GB,GB-0177561,unknown,6125,0,3901808,urn:uuid:504324fe-4aa1-4e5a-938c-82af5a4abdf2
9.745,63.1842,TRH,46621/1,ED50,707,100,3808012,urn:uuid:01b0b5db-3c6c-4562-81ea-c24fece75721
14.60036,63.18786,LD,1073602,unknown,,,3937287,urn:uuid:38b67744-4ea6-4dac-9d2c-c4be78cc9fa2
14.60035994,63.1878733,GB,GB-0177562,unknown,1500,0,3901809,urn:uuid:20cc4747-0893-41d8-ab78-30e89c6ea4f0
-145.66667,63.2,WIS,WIS-L-0017659,unknown,,945,1014255,urn:uuid:d785ba0f-4492-4d7b-ad0e-11a3be45211f
-145.66667,63.2,WIS,WIS-L-0017660,unknown,,945,1014256,urn:uuid:240f107e-992f-4408-a039-0fe5c5af519c
-145.666667,63.2,WIS,WIS-L-0017662,unknown,,945,1014258,urn:uuid:92ff1aad-a0d2-4e70-ba53-4a05fa97d2c8
-145.666667,63.2,WIS,WIS-L-0044666,unknown,,945,1100330,urn:uuid:a83d88c9-63fb-4b90-a0fd-11eb2c2a50f0
-145.666667,63.2,WIS,WIS-L-0044525,unknown,,945,1100556,urn:uuid:43f54a5f-26b9-4237-8121-b84fdca11165
-145.666667,63.2,WIS,WIS-L-0044823,unknown,,945,1100700,urn:uuid:a06a5868-dad8-4da9-8daf-70ad227552b7
9.5151,63.2086,TRH,23398/3,WGS84,10,615,4759376,urn:uuid:23c3aa9f-bcd1-4e58-a578-e9a79d0d7773
-50.6,63.23333,COLO,COLO-L-0008067,unknown,,,1617558,urn:uuid:3a8fb3f1-3524-488e-9a24-c7504156d0e5
-50.6,63.23333333,LD,1546553,unknown,,,3971829,urn:uuid:11b58101-5d3d-4717-b669-de2a15c47710
-145.433333,63.25,ALA,UAMb:Herb:2181,unknown,,1260,1454114,urn:uuid:58ae9155-f1a3-4d50-a760-8bb84ecc5443
-145.433333,63.25,ALA,UAMb:Herb:2323,unknown,,1260,1453667,urn:uuid:0534b22f-7bb9-4f72-865a-e5262f563b36
-130.04,63.25,UBC,L10735,unknown,505,,3060720,urn:uuid:d81d8b16-241f-47c0-a7bd-ef3f54696f0f
-130.04,63.25,UBC,L10739,unknown,505,,3060719,urn:uuid:23227cf8-e3c9-4027-a6c6-5b45caae9f20
