decimalLongitude,decimalLatitude,institutionCode,catalogNumber,geodeticDatum,coordinateUncertaintyInMeters,minimumElevationInMeters,recordID,references
5.5455,58.8128,O,85446,ED50,707,1,b426f2b4-0115-495a-9faf-3c63dba6e25c,https://lichenportal.org/portal/collections/individual/index.php?occid=2085389
5.5455,58.8128,O,85447,ED50,707,1,11d6ef50-5302-40f3-9ff3-ab5fcf55f300,https://lichenportal.org/portal/collections/individual/index.php?occid=2085390
5.9905,59.2732,O,85448,ED50,707,,b0dbf446-1e25-40d5-bdd6-9481e29ec585,https://lichenportal.org/portal/collections/individual/index.php?occid=2085391
5.9722,59.2818,O,85449,ED50,707,,3db04ff1-5938-4119-bc23-a096ef401ce5,https://lichenportal.org/portal/collections/individual/index.php?occid=2085392
6.0591,59.2927,O,85450,ED50,707,400,47088969-5d41-4b7f-97ef-1c9132e7155b,https://lichenportal.org/portal/collections/individual/index.php?occid=2085393
6.0591,59.2927,O,85451,ED50,707,400,a6c22353-ce9e-4266-a7c0-a9e88a15e891,https://lichenportal.org/portal/collections/individual/index.php?occid=2085394
6.1352,58.5936,O,85452,ED50,707,,b8bb640a-128d-4895-b220-80886a239398,https://lichenportal.org/portal/collections/individual/index.php?occid=2085395
6.6171,58.0868,O,85464,ED50,1118,,1c15701e-cce7-4985-8932-412adf955998,https://lichenportal.org/portal/collections/individual/index.php?occid=2085406
5.1465,62.1902,O,85465,ED50,707,,2cc2eb64-92b3-4cad-b55e-ce5985d3ea0f,https://lichenportal.org/portal/collections/individual/index.php?occid=2085407
5.0156,62.0157,O,85466,ED50,707,,07007643-1183-42eb-8f90-0419b62b57c9,https://lichenportal.org/portal/collections/individual/index.php?occid=2085408
4.9336,61.7706,O,85467,ED50,707,1,a28d4db2-d3c8-44ae-a812-2b9b2500f4c9,https://lichenportal.org/portal/collections/individual/index.php?occid=2085409
4.9963,61.8713,O,85468,ED50,707,500,bd105ba0-0b01-41c6-a052-2bce1ffa46fe,https://lichenportal.org/portal/collections/individual/index.php?occid=2085410
7.4882,61.1042,O,85469,ED50,707,1,a46accbb-b928-4038-b00b-c1291e4fb414,https://lichenportal.org/portal/collections/individual/index.php?occid=2085411
7.1897,62.886,O,85481,ED50,2151,200,66e62d2f-1a4f-4b12-84b9-5257c84f700f,https://lichenportal.org/portal/collections/individual/index.php?occid=2085423
9.6266,62.2962,O,85603,ED50,707,1110,7e3ddc09-5c17-46f3-9fd9-8b8a6b1d1b0a,https://lichenportal.org/portal/collections/individual/index.php?occid=2085543
9.4543,62.3776,O,85605,ED50,707,1580,8e09e951-b111-410b-85b2-4f6ad76c96e8,https://lichenportal.org/portal/collections/individual/index.php?occid=2085545
9.7424,62.3046,O,85606,ED50,707,1550,33d5289b-d5cc-43f8-be9b-f064d09579f7,https://lichenportal.org/portal/collections/individual/index.php?occid=2085546
9.2788,62.116,O,85646,ED50,1320,950,b091e56e-f1d8-4539-817e-5f932a3e0f30,https://lichenportal.org/portal/collections/individual/index.php?occid=2085585
9.3738,63.6703,O,85651,ED50,707,1,46276303-9d0b-4cd2-af7d-831eb6e261da,https://lichenportal.org/portal/collections/individual/index.php?occid=2085590
9.3941,63.6792,O,85652,ED50,707,5,8ff47975-6ace-4376-9743-afe7710477bc,https://lichenportal.org/portal/collections/individual/index.php?occid=2085591
20.2748,69.3835,O,85675,ED50,3536,,9a051b4d-ac51-4a4d-a7b7-13d52b66eb0e,https://lichenportal.org/portal/collections/individual/index.php?occid=2085613
23.282,69.7828,O,85696,ED50,1118,200,b0b0f8d0-20be-4b91-9c1c-d28d523498ac,https://lichenportal.org/portal/collections/individual/index.php?occid=2085634
9.5635,62.2251,O,116116,ED50,2084,950,f5c2cc59-c7d0-4f62-95f4-a84c63a36e39,https://lichenportal.org/portal/collections/individual/index.php?occid=2110915
10.7485,59.2231,O,116119,ED50,250,1,a253123b-67ee-4f1f-9214-8fbaaea432e1,https://lichenportal.org/portal/collections/individual/index.php?occid=2110918
11.2686,59.0996,O,119703,ED50,250,5,56f03ce7-67f6-4ea5-b96a-6fd0c0079ff1,https://lichenportal.org/portal/collections/individual/index.php?occid=2113353
11.9159,67.4507,O,127347,ED50,71,15,18f8d561-3811-42d0-b977-126e82f5cdba,https://lichenportal.org/portal/collections/individual/index.php?occid=2115076
10.8825,59.0474,O,169231,ED50,1414,,69fddff2-006c-420c-aed5-9fc8af2e497b,https://lichenportal.org/portal/collections/individual/index.php?occid=2127121
10.6303,59.9036,BG,30559,ED50,955,1,827c4cd6-f7ea-474a-a322-8b940ba5cc6a,https://lichenportal.org/portal/collections/individual/index.php?occid=2274310
5.4431,60.1402,BG,10196,ED50,707,50,19700ee7-7110-463b-9d3c-d0ea2c7b5ab9,https://lichenportal.org/portal/collections/individual/index.php?occid=2290777
6.8043,60.7985,BG,30580,ED50,707,1200,3f75fa69-7687-4fb3-9f2a-bcdf28399162,https://lichenportal.org/portal/collections/individual/index.php?occid=2294944
6.305,62.3523,BG,12474,ED50,707,750,b725964b-bd16-44ed-b352-d0b9ea49a643,https://lichenportal.org/portal/collections/individual/index.php?occid=2296725
10.7489,59.9142,BG,30557,ED50,3329,1,e61a6f22-6bf0-4bdb-9bfd-8a7dd2621867,https://lichenportal.org/portal/collections/individual/index.php?occid=2303147
6.0821,58.4769,BG,85578,ED50,71,150,2ad80cd8-e7f2-4472-bda7-3ad9b032a63c,https://lichenportal.org/portal/collections/individual/index.php?occid=2304501
6.3395,58.8495,BG,75172,ED50,707,250,3ce319dc-31c5-4e1b-8e55-74b090f1b30e,https://lichenportal.org/portal/collections/individual/index.php?occid=2304784
5.3096,59.2377,BG,82069,ED50,707,65,6d86b64c-a32f-47b8-b7a1-8aa9ce102c2f,https://lichenportal.org/portal/collections/individual/index.php?occid=2305387
5.5521,58.8071,BG,73776,ED50,71,1,c0507edb-e149-493d-a90d-18d1f6a77104,https://lichenportal.org/portal/collections/individual/index.php?occid=2305562
